taxa
Candidatus Hamiltonella defensa
Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CI
Citrobacter freundii
Lactobacillus kefiranofaciens subsp. kefirgranum DSM 10550
Thomasclavelia cocleata
Izhakiella capsodis
Sodalis sp. TM
Candidatus Regiella insecticola
Virgibacillus sp. SK37
Morganella morganii
Morganella morganii
Liquorilactobacillus oeni DSM 19972
Nitratidesulfovibrio sp. HK-II
Raoultella ornithinolytica
Aliikangiella marina
Pectobacterium fontis
Enterobacter cloacae
Ligilactobacillus acidipiscis
Lactococcus fujiensis JCM 16395
Shewanella sp. cp20
Thalassomonas viridans
Enterococcus sp. RIT-
endosymbiont of Ridgeia piscesae
Candidatus
Clostridium saccharobutylicum
Alloprevotella rava
Enterococcus faecalis 918
Franconibacter pulveris
Clostridium thermobutyricum DSM 4928
Methylococcaceae bacterium TM
Candidatus
Enterobacteriaceae endosymbiont of
Anaerotruncus colihominis
Hansschlegelia quercus
Ilyomonas limi
Clostridium beijerinckii
Lactobacillus kitasatonis DSM 16761
Marinospirillum celere
Enterococcus sp. RIT-
Bacteroides sp. 3_1_13
Marinobacter mobilis
Leucothrix arctica
Desulfosarcina widdelii
Actinobacillus delphinicola
Desulfuromusa kysingii
Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / CCU
'Candidatus Kapabacteria' thiocyanatum
Mycoplasma amphoriforme A39
Escherichia albertii
Ureibacillus sinduriensis BLB-1
Lactobacillus helveticus
Kluyvera genomosp. 3
Raoultella ornithinolytica
Bacteroides fragilis str. 3988T(B)14
Pseudidiomarina atlantica
Shouchella lehensis
Pseudoalteromonas piratica
Sporosarcina newyorkensis
Sulfuriferula sp. AH1
Escherichia coli (strain K12)
Clostridium sulfidigenes
Enterococcus termitis
Isobaculum melis
Shewanella fodinae
Clostridium botulinum
Lactobacillus kullabergensis
Shewanella canadensis
Carnobacterium divergens DSM 20623
Lentisphaeria bacterium
Enterococcus faecalis 918
Syntrophus sp.
Bacteroides fragilis str. 3988T(B)14
Citrobacter koseri
Lactobacillus helveticus
Salmonella typhimurium (strain LT2 / S
Enterobacter hormaechei
Aeromonas schubertii
Wolbachia endosymbiont of Cylisticus convexus
Alkalispirillum mobile
methanotrophic endosymbiont of Bathymodiolus azoricus
Paraphotobacterium marinum
Leuconostoc fallax
Kluyvera intermedia
Clostridium botulinum
Capsulimonas corticalis
Kerfeldbacteria bacterium
bacterium endosymbiont of
Salinicoccus halodurans
Aestuariibacter sp.
Dehalogenimonas alkenigignens
Cedecea neteri
Proteus myxofaciens ATCC 19692
Enterococcus canis
Tetragenococcus muriaticus 3MR10-3
Aquimarina atlantica
Lactobacillus hominis DSM 23910
Thorsellia kenyensis
Escherichia coli (strain K12)
Ferrimonas lipolytica
Escherichia coli (strain K12)
Enterococcus faecalis 918
Pseudoalteromonas ruthenica
Trabulsiella guamensis ATCC 49490
uncultured bacterium Rifle_16ft_4_minimus_37862
Thalassotalea sp.
Raoultella ornithinolytica
Escherichia coli (strain K12)
Tenacibaculum sp. MAR_2009_124
Enterococcus faecalis 918
Secundilactobacillus oryzae JCM 18671
Enterobacteriaceae endosymbiont of
Bombilactobacillus mellis
Jeotgalicoccus pinnipedialis
Methylococcus sp.
Ewingella americana ATCC 33852
Dyella japonica A8
uncultured Butyricicoccus sp
Desulfofustis glycolicus DSM 9705
Mycoplasma yeatsii
candidate division LC
Clostridium beijerinckii
Mumia flava
Prosthecomicrobium hirschii
Marininema mesophilum
Bombilactobacillus mellis
Spirochaetes bacterium D
Corynebacterium liangguodongii
uncultured bacterium Rifle_16ft_4_minimus_37862
bacterium (Candidatus Ratteibacteria) C
Anaeroplasma bactoclasticum
Halioglobus maricola
Lactococcus hodotermopsidis
Novosphingobium sp
Legionella norrlandica
Desulfobotulus alkaliphilus
Sodalis-like endosymbiont of
Bacteroides fragilis str. 3988T(B)14
Orenia marismortui
Parasutterella excrementihominis
Siccibacter turicensis
Citrobacter freundii
Halalkalibacter okhensis
Lactobacillus delbrueckii subsp. bulgaricus
Liquorilactobacillus hordei DSM 19519
Escherichia coli (strain K12)
Serratia marcescens
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Escherichia coli (strain K12)
Liquorilactobacillus sucicola DSM 21376
Pseudomonas knackmussii (strain DSM 6978 / LM
Enterococcus faecalis 918
Klebsiella pneumoniae
Pseudoalteromonas fuliginea
Citrobacter koseri
Citrobacter koseri
Serratia sp. DD3
Trabulsiella guamensis ATCC 49490
Latilactobacillus sakei
Tatumella morbirosei
Morganella morganii
Lactobacillus helveticus
Lactobacillus kullabergensis
Companilactobacillus heilongjiangensis
Kosakonia oryziphila
